Date,Open,High,Low,Close,Adj Close,Volume
2021-12-07,1.036100,1.037320,1.027470,1.036130,1.036130,0
2021-12-08,1.028330,1.029360,1.023990,1.028300,1.028300,0
2021-12-09,1.024380,1.025920,1.021170,1.024340,1.024340,0
2021-12-10,1.025090,1.026190,1.021080,1.025130,1.025130,0
2021-12-13,1.022900,1.027650,1.020748,1.022880,1.022880,0
2021-12-14,1.024770,1.030170,1.024190,1.024880,1.024880,0
2021-12-15,1.027120,1.027636,1.022510,1.027034,1.027034,0
2021-12-16,1.021400,1.023530,1.015520,1.021470,1.021470,0
2021-12-17,1.021860,1.025890,1.020246,1.022070,1.022070,0
2021-12-20,1.027210,1.031670,1.026460,1.027710,1.027710,0
2021-12-21,1.028390,1.030490,1.025520,1.028660,1.028660,0
2021-12-22,1.025530,1.028040,1.017010,1.025560,1.025560,0
2021-12-23,1.017700,1.020280,1.015250,1.017790,1.017790,0
2021-12-24,1.017410,1.020280,1.016200,1.017400,1.017400,0
2021-12-27,1.018330,1.022020,1.017270,1.018230,1.018230,0
2021-12-28,1.018890,1.022080,1.017080,1.018950,1.018950,0
2021-12-29,1.020930,1.023690,1.017360,1.020980,1.020980,0
2021-12-30,1.019390,1.020700,1.016559,1.019470,1.019470,0
2021-12-31,1.020120,1.022470,1.018780,1.020050,1.020050,0
2022-01-03,1.020300,1.028100,1.018870,1.020360,1.020360,0
2022-01-04,1.026770,1.027120,1.018480,1.026830,1.026830,0
2022-01-05,1.018570,1.020750,1.015790,1.018800,1.018800,0
2022-01-06,1.019850,1.028010,1.019730,1.019820,1.019820,0
2022-01-07,1.025580,1.030980,1.024333,1.025700,1.025700,0
2022-01-10,1.026970,1.030580,1.024830,1.026930,1.026930,0
2022-01-11,1.026990,1.031760,1.026020,1.027130,1.027130,0
2022-01-12,1.026880,1.027760,1.019720,1.026760,1.026760,0
2022-01-13,1.019700,1.020790,1.016710,1.019760,1.019760,0
2022-01-14,1.020310,1.027230,1.019860,1.020160,1.020160,0
2022-01-17,1.027400,1.029640,1.026560,1.027440,1.027440,0
2022-01-18,1.028240,1.032140,1.027380,1.028300,1.028300,0
2022-01-19,1.029800,1.031080,1.025340,1.030060,1.030060,0
2022-01-20,1.028130,1.028280,1.022860,1.028180,1.028180,0
2022-01-21,1.028580,1.034840,1.028580,1.028708,1.028708,0
2022-01-24,1.034690,1.046050,1.034690,1.034648,1.034648,0
2022-01-25,1.038660,1.043780,1.038270,1.038870,1.038870,0
2022-01-26,1.039080,1.040470,1.036250,1.039021,1.039021,0
2022-01-27,1.041410,1.049350,1.041410,1.041410,1.041410,0
2022-01-28,1.050490,1.057430,1.049080,1.050630,1.050630,0
2022-01-31,1.054330,1.054760,1.044900,1.053970,1.053970,0
2022-02-01,1.046970,1.051610,1.041240,1.046640,1.046640,0
2022-02-02,1.039350,1.041880,1.037120,1.039300,1.039300,0
2022-02-03,1.042040,1.042950,1.037880,1.042010,1.042010,0
2022-02-04,1.041620,1.052890,1.041030,1.041550,1.041550,0
2022-02-07,1.049897,1.051419,1.044390,1.049850,1.049850,0
2022-02-08,1.044070,1.046560,1.041650,1.044110,1.044110,0
2022-02-09,1.040400,1.041050,1.036090,1.040450,1.040450,0
2022-02-10,1.038040,1.040120,1.028880,1.037990,1.037990,0
2022-02-11,1.037590,1.045220,1.036160,1.037660,1.037660,0
2022-02-14,1.038850,1.046800,1.038850,1.038960,1.038960,0
2022-02-15,1.040770,1.044810,1.038270,1.040850,1.040850,0
2022-02-16,1.040150,1.040830,1.035870,1.040107,1.040107,0
2022-02-17,1.035070,1.039540,1.031510,1.034810,1.034810,0
2022-02-18,1.035790,1.037140,1.030650,1.035305,1.035305,0
2022-02-21,1.035510,1.035942,1.029280,1.035730,1.035730,0
2022-02-22,1.032980,1.033560,1.027840,1.033210,1.033210,0
2022-02-23,1.028300,1.029570,1.021420,1.028350,1.028350,0
2022-02-24,1.027590,1.035670,1.026910,1.027600,1.027600,0
2022-02-25,1.030280,1.033050,1.021200,1.030560,1.030560,0
2022-02-28,1.024240,1.027260,1.015030,1.023770,1.023770,0
2022-03-01,1.015820,1.017513,1.013100,1.015740,1.015740,0
2022-03-02,1.014540,1.015570,1.012030,1.014490,1.014490,0
2022-03-03,1.011850,1.013400,1.002720,1.011770,1.011770,0
2022-03-04,1.004510,1.006730,0.997370,1.004480,1.004480,0
2022-03-07,0.993340,1.003120,0.985600,0.992800,0.992800,0
2022-03-08,1.001610,1.010030,0.999040,1.001650,1.001650,0
2022-03-09,1.007530,1.007730,1.001220,1.007740,1.007740,0
2022-03-10,1.006300,1.008450,0.999620,1.006530,1.006530,0
2022-03-11,0.999520,1.005280,0.999440,0.999590,0.999590,0
2022-03-14,1.005340,1.014220,1.005250,1.005570,1.005570,0
2022-03-15,1.016650,1.020160,1.014270,1.016700,1.016700,0
2022-03-16,1.018550,1.018840,1.011070,1.018533,1.018533,0
2022-03-17,1.009890,1.009930,0.999500,1.009940,1.009940,0
2022-03-18,1.000930,1.001010,0.994820,1.000990,1.000990,0
2022-03-21,0.994770,0.999540,0.993710,0.994850,0.994850,0
2022-03-22,0.995480,0.997280,0.989490,0.995300,0.995300,0
2022-03-23,0.987400,0.989190,0.982290,0.987450,0.987450,0
2022-03-24,0.981790,0.986100,0.978610,0.982060,0.982060,0
2022-03-25,0.980790,0.983390,0.978490,0.980630,0.980630,0
2022-03-28,0.978960,0.983540,0.974580,0.979090,0.979090,0
2022-03-29,0.980240,0.987410,0.978100,0.979990,0.979990,0
2022-03-30,0.981530,0.984620,0.979960,0.981290,0.981290,0
2022-03-31,0.985350,0.989210,0.983500,0.985450,0.985450,0
2022-04-01,0.985200,0.986600,0.980320,0.985190,0.985190,0
2022-04-04,0.984170,0.984430,0.975430,0.984090,0.984090,0
2022-04-05,0.977050,0.978050,0.963210,0.977000,0.977000,0
2022-04-06,0.970540,0.976100,0.968210,0.975690,0.975690,0
